04.02.2022 09:44:36:DEBUG:This is a debug message
04.02.2022 09:44:36:INFO:Informational message
04.02.2022 09:44:36:ERROR:An error has happened!
04.02.2022 09:45:23:DEBUG:  This is a debug message
04.02.2022 09:45:23:INFO:  Informational message
04.02.2022 09:45:23:ERROR:  An error has happened!
04.02.2022 09:48:56:INFO:  Старт "Сбор_инфо ЛК МТС"
04.02.2022 09:57:48:INFO:  Старт "Сбор_инфо ЛК МТС"
04.02.2022 09:57:51:INFO:  Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:02:47:INFO:  Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:02:47:DEBUG:  lk_mts  run
04.02.2022 10:02:50:INFO:  Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:02:50:DEBUG:  lk_mts  run
04.02.2022 10:03:47:__main__:INFO:	Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:03:47:__main__:DEBUG:	lk_mts  run
04.02.2022 10:37:19:INFO:	Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:37:19:DEBUG:	lk_mts:  run
04.02.2022 10:37:22:INFO:	Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:37:22:DEBUG:	lk_mts:  run
04.02.2022 10:37:25:INFO:	Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:37:25:DEBUG:	lk_mts:  run
04.02.2022 10:37:29:INFO:	Старт "Сбор_инфо ЛК МТС"
04.02.2022 10:37:29:DEBUG:	lk_mts:  run
