"id_lid","address","bot_log"
"1180922","г Ярославль, ул Труфанова, д 34а","
16:06:50 01-11-2021: Нет блока ответа регистрации заявки"
"1181052","Московская обл, г Одинцово, г Звенигород, кв-л Маяковского, д 1","
18:06:29 01-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Одинцово, г Звенигород, кв-л Маяковского, д 1
или организация: ИП Писаренко Елена Борисовна/ 644008231496"
"1181044","Санкт-Петербург, Обуховской обороны 112к2 лит3","
18:07:27 01-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Санкт-Петербург, Обуховской обороны 112к2 лит3
или организация: 7804683141 / ООО СПЕЦЛОГИСТИКА"
"1181672","Курган, М Горького 186 ","
11:51:19 02-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Курган, М Горького 186 
или организация: ГКУ ЦЗН города Кургана /инн 4501091140"
"1181819","Челябинская обл, г Златоуст, ул им И.В.Панфилова, д 4А стр 1 ","
13:50:42 02-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Челябинская обл, г Златоуст, ул им И.В.Панфилова, д 4А стр 1 
или организация: 7404066183 / Импекс Групп"
"1181906","Свердловская обл, г Березовский, ул Орджоникидзе, стр 19б ","
14:51:09 02-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Свердловская обл, г Березовский, ул Орджоникидзе, стр 19б 
или организация: ООО СТИКУРАЛ/6678115480"
"1182203","Краснодарский край, г Новороссийск, Мысхакское шоссе, д 75 ","
19:50:46 02-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Краснодарский край, г Новороссийск, Мысхакское шоссе, д 75 
или организация: МПО ;Новая Жизнь"
"1182370","г Барнаул, ул Балтийская, влд 78 ","
09:26:16 03-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Барнаул, ул Балтийская, влд 78 
или организация: АН Статусъ"
"1182483","г Архангельск, ул Смольный Буян, д 16 к 1 ","
09:27:47 03-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Архангельск, ул Смольный Буян, д 16 к 1 
или организация: 623100378915 / ИП Холодов А. А."
"1182471","Магаданская обл, пгт Сеймчан, ул Октябрьская, д 8 ","
09:28:47 03-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Магаданская обл, пгт Сеймчан, ул Октябрьская, д 8 
или организация: ООО &quot;Кристалл&quot;, 4904006821"
"1186487","Ростовская обл, г Новочеркасск, ул Машиностроителей 7а","
09:27:57 08-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Ростовская обл, г Новочеркасск, ул Машиностроителей 7а
или организация: 7722801637 / Транспорт русс"
"1187009","г Волгоград, б-р 30-летия Победы, д 21д, офис 9","
14:19:24 08-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Волгоград, б-р 30-летия Победы, д 21д, офис 9
или организация: ООО ""фирма 34""/ 3443135813"
"1187289","г Москва, Ермолаевский пер, д 5 стр 1 ","
17:43:49 08-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, Ермолаевский пер, д 5 стр 1 
или организация: ИП Яйцева Майа Владимировна"
"1187255","Санкт-Петербург,  ","
18:03:46 08-11-2021: Нет блока ответа регистрации заявки"
"1186982","Московская обл, г Жуковский, ул Баженова, стр 2а ","
23:58:37 08-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Московская обл, г Жуковский, ул Баженова, стр 2а 
или организация: 502714626993 / ИП Санина Дарья Владимировна"
"1188311","Забайкальский край, Карымский р-н, село Нарын-Талача, ул Школьная, д 1 ","
11:24:26 09-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Забайкальский край, Карымский р-н, село Нарын-Талача, ул Школьная, д 1 
или организация: Школа  МОУ СОШ "
"1189280","Обнинск, Киевское шоссе 152","
10:44:21 10-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Обнинск, Киевское шоссе 152
или организация: 4025077820"
"1189209","Ставропольский край, село Арзгир, ул П. Базалеева, д 3 ","
09:18:52 10-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Ставропольский край, село Арзгир, ул П. Базалеева, д 3 
или организация: Отдел образования "
"1189573","г Казань, пр-кт Победы, д 139А к 1 ","
13:20:20 10-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Казань, пр-кт Победы, д 139А к 1 
или организация: 504001907748 / ИП Горбанёва"
"1190437","ХИМКИ, Ивановская дом 3к1 3","
11:17:58 11-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: ХИМКИ, Ивановская дом 3к1 3
или организация: THE CUPS"
"1190516","г Нижний Новгород, ул Ванеева, д 183 ","
11:47:53 11-11-2021: Нет блока ответа регистрации заявки"
"1190506","Красноярск, Аэровокзальная 17 оф 218 Аэровокзальная 17 оф 218","
11:49:04 11-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Красноярск, Аэровокзальная 17 оф 218 Аэровокзальная 17 оф 218
или организация: Еврофинанс, 2465336913"
"1191175","Санкт-Петербург, ул.Шаврова дом 13 корпус 1 Литера А","
07:26:28 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Санкт-Петербург, ул.Шаврова дом 13 корпус 1 Литера А
или организация: ООО ЗЭТО СМП Северо-запад, 7814378429"
"1190510","г Москва, ул 1-я Фрезерная, д 2/1 к 2 ","
11:58:00 11-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Москва, ул 1-я Фрезерная, д 2/1 к 2 
или организация: ООО НОЭЛСИ"
"1190572","Пенза, Кураева 1-а","
12:47:15 11-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Пенза, Кураева 1-а
или организация: 583405293669"
"1190587","г Чебоксары, ул Энгельса, д 3 к 1 ","
13:19:37 11-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: г Чебоксары, ул Энгельса, д 3 к 1 
или организация: ип"
"1190716","Екатеринбург, Белинсаого 56","
14:31:29 11-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Екатеринбург, Белинсаого 56
или организация: ООО Штайн Груп"
"1191419","Нягань, мкр 4, д 13, помещение 250 ","
10:18:54 12-11-2021: После заполнения заявки кнопка Далее не активна.
Возможно не корректен адрес: Нягань, мкр 4, д 13, помещение 250 
или организация:  ИП Комарова Ольга Геннадьевна"
