Область (Яндекс)	Город (Яндекс)	Улица (Яндекс)	Номер дома (Яндекс)
Московская область	Балашиха	Молодёжная улица	10
Свердловская область	Екатеринбург	Орджоникидзевский район, микрорайон Уралмаш, Стахановская улица	8
Санкт-Петербург	Санкт-Петербург	улица Руставели	6
Санкт-Петербург	Санкт-Петербург	Дальневосточный проспект	80
Москва	Москва	улица Маршала Голованова	20
Ростовская область	Ростов-на-Дону	Будённовский проспект	120/1
Москва	Москва	Большая Набережная улица	3
Нижегородская область	Дзержинск	улица Матросова	34
Брянская область	Брянск	улица Матвеева	6
Москва	Москва	Новорогожская улица	14к1
Московская область	Люберцы	Октябрьский проспект	20к2
Свердловская область	Среднеуральск	Набережная улица	1В
Самарская область	Тольятти	Московский проспект	23
Ярославская область	Ярославль	Ленинградский проспект	93
Москва	Москва	Бартеневская улица	49
Ростовская область	Ростов-на-Дону	улица Ерёменко	60/12
Москва	Москва	Волоцкой переулок	7к1
Саратовская область	Саратов	Огородная улица	36/42
Астраханская область	Астрахань	Минусинская улица	6
Краснодарский край	Краснодар	Старокубанская улица	137к1
Московская область	Электросталь	Первомайская улица	12
Саратовская область	Саратов	4-й проезд Чернышевского Н.Г.	6Б
Красноярский край	Красноярск	улица Гусарова	48
Хабаровский край	Хабаровск	1-й микрорайон, Космическая улица	9Б
Москва	Москва	Ленинский проспект	52
Волгоградская область	Волгоград	улица Рихарда Зорге	60
Москва	Москва	6-я Кожуховская улица	10
Московская область	Люберцы	микрорайон Городок А, улица 3-е Почтовое Отделение	17
Санкт-Петербург	Санкт-Петербург	аллея Котельникова	2
Московская область	Реутов	улица Победы	22
Пермский край	Пермь	Рабочая улица	7
Ярославская область	Ярославль	проспект Ленина	18/50
Астраханская область	Астрахань	микрорайон 3-й Интернационал, Ростовский переулок	14
Ставропольский край	Пятигорск	проспект Калинина	24
Ярославская область	Ярославль	1-я Жилая улица	12к2
Москва	Москва	Велозаводская улица	9
Тульская область	Богородицк	Западный микрорайон	7
Краснодарский край	Краснодар	улица Генерала Трошева	33
Архангельская область	Архангельск	Исакогорский округ, Рейдовая улица	9
Вологодская область	Череповец	Первомайская улица	39
Республика Татарстан	Казань	улица Сабан	1А
Орловская область	Орёл	Раздольная улица	27А
Ульяновская область	Ульяновск	улица Островского	15
Москва	Москва	улица Крылатские Холмы	26к1
Волгоградская область	Волгоград	улица Жолудева	38
Санкт-Петербург	Санкт-Петербург	бульвар Красных Зорь	2
Московская область	Орехово-Зуево	улица Володарского	37
Тульская область	Щёкино	Спортивная улица	1А
