Область (Яндекс)	Город (Яндекс)	Улица (Яндекс)
Московская область	Балашиха	Молодёжная улица
Свердловская область	Екатеринбург	Орджоникидзевский район, микрорайон Уралмаш, Стахановская улица
Санкт-Петербург	Санкт-Петербург	улица Руставели
Санкт-Петербург	Санкт-Петербург	Дальневосточный проспект
Москва	Москва	улица Маршала Голованова
Ростовская область	Ростов-на-Дону	Будённовский проспект
Москва	Москва	Большая Набережная улица
Нижегородская область	Дзержинск	улица Матросова
Брянская область	Брянск	улица Матвеева
Москва	Москва	Новорогожская улица
Московская область	Люберцы	Октябрьский проспект
Свердловская область	Среднеуральск	Набережная улица
Самарская область	Тольятти	Московский проспект
Ярославская область	Ярославль	Ленинградский проспект
Москва	Москва	Бартеневская улица
Ростовская область	Ростов-на-Дону	улица Ерёменко
Москва	Москва	Волоцкой переулок
Саратовская область	Саратов	Огородная улица
Астраханская область	Астрахань	Минусинская улица
Краснодарский край	Краснодар	Старокубанская улица
Московская область	Электросталь	Первомайская улица
Саратовская область	Саратов	4-й проезд Чернышевского Н.Г.
Красноярский край	Красноярск	улица Гусарова
Хабаровский край	Хабаровск	1-й микрорайон, Космическая улица
Москва	Москва	Ленинский проспект
Волгоградская область	Волгоград	улица Рихарда Зорге
Москва	Москва	6-я Кожуховская улица
Московская область	Люберцы	микрорайон Городок А, улица 3-е Почтовое Отделение
Санкт-Петербург	Санкт-Петербург	аллея Котельникова
Московская область	Реутов	улица Победы
Пермский край	Пермь	Рабочая улица
Ярославская область	Ярославль	проспект Ленина
Астраханская область	Астрахань	микрорайон 3-й Интернационал, Ростовский переулок
Ставропольский край	Пятигорск	проспект Калинина
Ярославская область	Ярославль	1-я Жилая улица
Москва	Москва	Велозаводская улица
Тульская область	Богородицк	Западный микрорайон
Краснодарский край	Краснодар	улица Генерала Трошева
Архангельская область	Архангельск	Исакогорский округ, Рейдовая улица
Вологодская область	Череповец	Первомайская улица
Республика Татарстан	Казань	улица Сабан
Орловская область	Орёл	Раздольная улица
Ульяновская область	Ульяновск	улица Островского
Москва	Москва	улица Крылатские Холмы
Волгоградская область	Волгоград	улица Жолудева
Санкт-Петербург	Санкт-Петербург	бульвар Красных Зорь
Московская область	Орехово-Зуево	улица Володарского
Тульская область	Щёкино	Спортивная улица
Республика Татарстан	Казань	жилой массив Щербаково, Магистральная улица
Калужская область	Калуга	улица Дзержинского
Орловская область	Орёл	Приборостроительная улица
Республика Татарстан	Казань	улица Голубятникова
Москва	Москва	Хавская улица
Иркутская область	Иркутск	улица Маршала Конева
Кемеровская область	Кемерово	улица Попова
Московская область	Котельники	Кузьминская улица
Ивановская область	Иваново	Большая Воробьёвская улица
Самарская область	Тольятти	Ленинский проспект
Саратовская область	Саратов	3-й Дачный посёлок, улица Мира
Москва	Москва	Звёздный бульвар
Нижегородская область	Дзержинск	микрорайон Западный, бульвар Космонавтов
Москва	Москва	Зелёный проспект
Москва	Москва	Варшавское шоссе
Тульская область	Тула	Приупская улица
Москва	Москва	Болотниковская улица
Ростовская область	Ростов-на-Дону	проспект Королёва
Волгоградская область	Волгоград	улица Пожарского
Москва	Москва	Астрадамская улица
Самарская область	Тольятти	улица Карбышева
Московская область	Егорьевск	6-й микрорайон
Ярославская область	Ярославль	район Дядьково, Корабельная улица
Ростовская область	Ростов-на-Дону	Таганрогская улица
Саратовская область	Балашов	улица Калинина
Москва	Москва	Дубнинская улица
Костромская область	Кострома	Профсоюзная улица
Тульская область	Новомосковск	улица Дёмкина
Москва	Москва	Митинская улица
Московская область	дачный посёлок Черкизово	Набережная улица
Ростовская область	Ростов-на-Дону	микрорайон Западный, улица 339-й Стрелковой Дивизии
Ростовская область	Батайск	улица Северный Массив
Республика Татарстан	Иннополис	Спортивная улица
Курская область	Курчатов	Коммунистический проспект
Московская область	посёлок ВНИИССОК	улица Дружбы
Краснодарский край	Краснодар	Старокубанская улица
Краснодарский край	Краснодар	Симферопольская улица
Пермский край	Пермь	улица Елькина
Санкт-Петербург	Санкт-Петербург	улица Дыбенко
Москва	Москва	проспект Защитников Москвы
Ярославская область	Ярославль	улица Серго Орджоникидзе
Республика Татарстан	Казань	Дружинная улица
Московская область	Чехов	улица Дружбы
Павлодарская область	Павлодар	улица Павлова
Москва	Москва	Ташкентская улица
Московская область	Серпухов	улица Ивана Болотникова
Красноярский край	Красноярск	Советский район, микрорайон Зелёная Роща, улица Воронова
Москва	Москва	Саранская улица
Саратовская область	Саратов	Зоологическая улица
Ярославская область	Ярославль	улица Строителей
Ярославская область	Ярославль	улица Некрасова
Ростовская область	Ростов-на-Дону	микрорайон Северный, улица Беляева
Москва	Москва	Нарвская улица
Красноярский край	Красноярск	Краснодарская улица
Краснодарский край	посёлок Российский	Рымникская улица
Саратовская область	Балашов	улица Орджоникидзе
Смоленская область	Смоленск	Колхозный переулок
Ярославская область	Ярославль	жилой район Липовая Гора, 1-я Тормозная улица
Ульяновская область	Ульяновск	проспект Нариманова
Омская область	Омск	Нефтезаводская улица
Москва	Москва	улица Долгова
Самарская область	Самара	улица Гая
Курская область	Курск	микрорайон КЗТЗ, Заводская улица
Санкт-Петербург	Санкт-Петербург	улица Савушкина
Волгоградская область	Волгоград	Калининградская улица
Калужская область	Калуга	бульвар Моторостроителей
Брянская область	Брянск	улица Мичурина
Ростовская область	Ростов-на-Дону	проспект Стачки
Ивановская область	Иваново	проспект Строителей
Орловская область	Орёл	Комсомольская улица
Москва	Москва	Элеваторная улица
Брянская область	Брянск	Октябрьская улица
Московская область	Кашира	Новокаширская улица
Кемеровская область	Кемерово	улица Потёмкина
Москва	Москва	14-я Парковая улица
Вологодская область	Вологда	улица Пугачёва
Москва	Москва	1-й Сельскохозяйственный проезд
Москва	Москва	проезд Нансена
Ульяновская область	Ульяновск	улица Ефремова
Ярославская область	Ярославль	проспект Толбухина
Тверская область	Тверь	улица Бобкова
Ярославская область	Ярославль	улица Кудрявцева
Ивановская область	Иваново	Дюковская улица
Кемеровская область	Новокузнецк	улица Сусанина
Саратовская область	Саратов	Волжский район, посёлок Юбилейный, Саловская улица
Брянская область	Брянск	улица Евдокимова
Санкт-Петербург	Сестрорецк	улица Токарева
Москва	Москва	улица Ивана Сусанина
Орловская область	Орёл	Комсомольская улица
Красноярский край	Красноярск	Советский район, микрорайон Зелёная Роща, улица Тельмана
Санкт-Петербург	Санкт-Петербург	проспект Шаумяна
Московская область	Ликино-Дулёво	улица Калинина
